timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,price_doc,sq_metr,unit_price,log_price_doc,year,month
2011-08-20,43.0,27.0,4.0,,,,,,,Investment,other,5850000,43.0,136046.511628,15.5819523901,2011,08
2011-08-23,34.0,19.0,3.0,,,,,,,Investment,Nagatinskij Zaton,6000000,34.0,176470.588235,15.6072701939,2011,08
2011-08-27,43.0,29.0,2.0,,,,,,,Investment,Tekstil'shhiki,5700000,43.0,132558.139535,15.5559769082,2011,08
2011-09-01,89.0,50.0,9.0,,,,,,,Investment,Mitino,13100000,89.0,147191.011236,16.3881228645,2011,09
2011-09-05,77.0,77.0,4.0,,,,,,,Investment,other,16331452,77.0,212096.779221,16.6086034383,2011,09
2011-09-06,67.0,46.0,14.0,,,,,,,Investment,other,9100000,67.0,135820.895522,16.0237850814,2011,09
2011-09-08,25.0,14.0,10.0,,,,,,,Investment,other,5500000,25.0,220000.0,15.520258832,2011,09
2011-09-09,44.0,44.0,5.0,,,,,,,Investment,other,2000000,44.0,45454.5454545,14.5086582385,2011,09
2011-09-10,42.0,27.0,5.0,,,,,,,Investment,other,5300000,42.0,126190.47619,15.4832175672,2011,09
2011-09-13,36.0,21.0,9.0,,,,,,,Investment,other,2000000,36.0,55555.5555556,14.5086582385,2011,09
2011-09-16,36.0,19.0,12.0,,,,,,,Investment,other,4650000,36.0,129166.666667,15.3523779926,2011,09
2011-09-16,38.0,19.0,11.0,,,,,,,Investment,Zapadnoe Degunino,4800000,38.0,126315.789474,15.3841266842,2011,09
2011-09-17,43.0,28.0,4.0,,,,,,,Investment,other,5100000,43.0,118604.651163,15.4447512938,2011,09
2011-09-19,31.0,31.0,4.0,,,,,,,Investment,other,5200000,31.0,167741.935484,15.4641693759,2011,09
2011-09-19,31.0,21.0,3.0,,,,,,,Investment,other,5000000,31.0,161290.322581,15.4249486704,2011,09
2011-09-20,51.0,31.0,15.0,,,,,,,Investment,Mar'ino,1850000,51.0,36274.5098039,14.4306967376,2011,09
2011-09-20,47.0,31.0,4.0,,,,,,,Investment,other,6300000,47.0,134042.553191,15.6560603501,2011,09
